date,name,pharmacy,web_name,is_available,price,bioequivalent,active_principle,sku,lab_name,url
2024-09-04,Estreva,Salcobrand,"Estreva Estradiol 0,1% Gel Tópico 50g",True,$30007.0,False,Estradiol,,,https://salcobrand.cl/products/estreva-estradiol-0-1-gel-topico-50g?srsltid=AfmBOooZY-AIWeiDXebezM8BSlmklSFTzOsYD8aQd-FfR50tZcSIvkRs
2024-09-04,Estreva,farmacias ahumada,Estreva 0.1 % x 50 g Gel con Dosificador,,$35.445,,ESTRADIOL HEMIHIDRATO,,Deutsche Pharma,https://www.farmaciasahumada.cl/estreva-0.1-x-50-g-gel-con-dosificador-25987.html?srsltid=AfmBOooPl0YVnL0m5utJ3PGpyajQJwqqh4TCgfFY26mJ_xwNu9ryTPX1
2024-09-04,Estreva,Eco Farmacias,Estreva Gel 0.1% estradiol 50g,False,$28.990,,,7800007807380,,https://www.ecofarmacias.cl/producto/estreva-gel-0-1-estradiol/
2024-09-04,Rosuvastatina,Dr Simi,Rosuvastatina 10 mg - 30 comprimidos recubiertos,,$8.000,True,ROSUVASTATINA,BE0078,,https://www.drsimi.cl/rosuvastatina-10-mg-30-comprimidos-recubiertos/p
2024-09-04,Rosuvastatina,Salcobrand,Rosuvastatina (B) 10mg 30 Comprimidos Recubiertos,True,$7743.0,True,Rosuvastatina,,,https://salcobrand.cl/products/rosuvastatina-10-mg-30-comprimidos-recubiertos?srsltid=AfmBOooRbX3JL5Ki9K_78eCmm0fIb89mlg9zN7RY_u_KjWeutchwDWOI
2024-09-04,Rosuvastatina,farmacias ahumada,Rosuvastatina 10 mg x 30 Comprimidos Recubiertos ASCEND,,$7.995,,ROSUVASTATINA CALCICA,,Ascend,https://www.farmaciasahumada.cl/rosuvastatina-10-mg-x-30-comprimidos-recubiertos-ascend-88085.html?srsltid=AfmBOoog6o7OokXkhsAflgRY__A_Y21wrphaB6cBj8PZvXUhd2mLQGym
2024-09-04,Rosuvastatina,El Búho,Rosuvastatina 10 Mg 30 Comprimidos,True,$5490,False,Rosuvastatina,,Laboratorio Chile,https://www.buhochile.com/products/rosuvastatina-10-mg-30-comprimidos-laboratorio-chile?productId=328f4c27-d24d-4d52-b626-fb302128ece5
2024-09-04,Acuode Colecalciferol 50.000UI Polvo,Salcobrand,Acuode Colecalciferol 50.000UI Polvo Oral 2 Sobres,True,$9549.0,False,Colecalciferol,,,https://salcobrand.cl/products/acuode-colecalciferol-50-000ui-polvo-oral-2-sobres?srsltid=AfmBOoodhngPpmPxEUGyptCWnTfi7eCMrrOShGlK3OIaMfW-FWcZ7aok
2024-09-04,Acuode Colecalciferol 50.000UI Polvo,Eco Farmacias,Acuode colecalciferol 50.000 Ui polvo oral 2 sobres,True,$8.990,,,7800026004791,,https://www.ecofarmacias.cl/producto/acuode-colecalciferol-50-000-ui-polvo-oral-2-sobres/
2024-09-04,Acuode Colecalciferol 50.000UI Polvo,farmacias ahumada,Acuode 50000 UI x 2 Sobres Polvo Para Solución Oral,,$18.495,,COLECALCIFEROL (VITAMINA D3),,Lafi,https://www.farmaciasahumada.cl/acuode-50000-ui-x-2-sobres-polvo-para-solucion-oral-82302.html?srsltid=AfmBOoqg-X8-8gMWTjzTeefYeS_fmr5VRP_3mxcoPDudNhqNF1pYYR8a
