product_name,pharmacy,url
Donabel,Salcobrand,https://salcobrand.cl/products/drospirenona-3mg-etinilestradiol-0-02mg-levomefolato-de-calcio-0-451mg-levomefolato-de-calcio?default_sku=1050022&gclid=Cj0KCQjw2ou2BhCCARIsANAwM2E5j3FVmcokZg7oJBjtx7tKSV-hsjBP5awzWg2evVTU7QAp53t0jrgaAsP3EALw_wcB
Donabel,El Químico,https://farmaciaelquimico.cl/products/donabel-comprimidos-recubiertos-2-1?srsltid=AfmBOooiRlOqPoxZz1wJKmu304oWYYK1w0FzRg-OnU8sg97Lk-cZ_xGt
Lenzetto,Salcobrand,https://salcobrand.cl/products/lenzetto-estradiol-1-53mg-pulverizacion-transdermica-56-dosis?srsltid=AfmBOopK_ZoFolRNWWeZYdASkTHzbk5GJSPfjAHxSVPWrdcqGSJINEHJ
Citrato de Magnesio,Dr Simi,https://www.drsimi.cl/citrato-de-magnesio-200mg-60cap-ch6112/p
Citrato de Magnesio,Salcobrand,https://salcobrand.cl/products/citrato-de-magnesio-800mg-60-capsulas?srsltid=AfmBOoocyo0h9kz5dqSZ_DGJYfzil4NIivnIfqJL5D0VUNZ0GwsBojCL
Elcald Plus,MercadoFarma,https://www.mercadofarma.cl/products/elcal-d-30-capsulas?srsltid=AfmBOooiEd_HRAQShuc76J_DZ3o6Ii0OuaGIHh5Hi2dyZ0GH8XbCrhZG
Elcald Plus,Dr Simi,https://www.drsimi.cl/elcal-d-plus-60-capsulas/p
Elcald Plus,Salcobrand,https://salcobrand.cl/products/elcal-d-500-800-calcio-vitamina-d3-60-capsulas?default_sku=37845&queryID=6b673ddf65c2d5df71d73103ebeafba3
Duphaston Didrogesterona 10mg,Salcobrand,https://salcobrand.cl/products/duphaston-didrogesterona-10mg-20-comprimidos-recubiertos?srsltid=AfmBOoqo9deEePFGxjGmztKOOccrs5GXrl9uGoKSh13V8aQ85TLUo1Ea
Duphaston Didrogesterona 10mg,El Químico,https://farmaciaelquimico.cl/products/duphaston-tabletas-10mg?srsltid=AfmBOorw12bp-7xH9GH59IY3pew9PE0eeXl7G0vlPU8PB0kisaKo61eZ
Duphaston Didrogesterona 10mg,Nova Salud,https://www.novasalud.cl/duphaston-10mg-20-comprimidos-recubiertos?srsltid=AfmBOopb9HeuIkRq2xDhHjQCT3WdKnbNtoZAr0blz993a1P2kijF7H0w
Estreva,Salcobrand,https://salcobrand.cl/products/estreva-estradiol-0-1-gel-topico-50g?srsltid=AfmBOooZY-AIWeiDXebezM8BSlmklSFTzOsYD8aQd-FfR50tZcSIvkRs
Rosuvastatina,Dr Simi,https://www.drsimi.cl/rosuvastatina-10-mg-30-comprimidos-recubiertos/p
Rosuvastatina,Salcobrand,https://salcobrand.cl/products/rosuvastatina-10-mg-30-comprimidos-recubiertos?srsltid=AfmBOooRbX3JL5Ki9K_78eCmm0fIb89mlg9zN7RY_u_KjWeutchwDWOI
Rosuvastatina,El Búho,https://www.buhochile.com/products/rosuvastatina-10-mg-30-comprimidos-laboratorio-chile?productId=328f4c27-d24d-4d52-b626-fb302128ece5
Acuode Colecalciferol 50.000UI Polvo,Salcobrand,https://salcobrand.cl/products/acuode-colecalciferol-50-000ui-polvo-oral-2-sobres?srsltid=AfmBOoodhngPpmPxEUGyptCWnTfi7eCMrrOShGlK3OIaMfW-FWcZ7aok
Hormogel,Farmacia Meki,https://farmaciameki.cl/producto/hormogel-pump-05-mg-silesia-0f21
Gestel 200mg,Farmacia Meki,https://farmaciameki.cl/producto/gestel-cenabast-200-mg-exeltis-110a
Lenzetto,Profar,https://www.profar.cl/lenzetto-103312/p
Vitamina D3 (Colecalciferol),Knop Laboratorios,https://www.farmaciasknop.com/products/vitamina-d3-800-ui
Acuode Colecalciferol 50.000UI Polvo,Farmacias Ahumada,https://www.farmaciasahumada.cl/acuode-50000-ui-x-2-sobres-polvo-para-solucion-oral-82302.html?srsltid=AfmBOoqg-X8-8gMWTjzTeefYeS_fmr5VRP_3mxcoPDudNhqNF1pYYR8a
Estreva,Farmacias Ahumada,https://www.farmaciasahumada.cl/estreva-0.1-x-50-g-gel-con-dosificador-25987.html?srsltid=AfmBOooPl0YVnL0m5utJ3PGpyajQJwqqh4TCgfFY26mJ_xwNu9ryTPX1
Lenzetto,Farmacias Ahumada,https://www.farmaciasahumada.cl/lenzetto-trh%C2%A01.53-mg-dosis-spray-56-dosis-88082.html?srsltid=AfmBOor65Q2GROUBqLBv2jIbvn6PsEX8QPPzt3zuiRLcftH2ijcq5CZ2
Progeva,Farmacias Ahumada,https://www.farmaciasahumada.cl/progeva-200-mg-x-30-capsulas-blandas-86961.html?srsltid=AfmBOoruBohyJOGvXEmsJ1YiGXX1IUhE6EPNUldNSfq2f34RufIV79e8
Hormogel,Farmacias Ahumada,https://www.farmaciasahumada.cl/hormogel-pump-0-5-mg-pulsacion-x-35-g-gel-transdermico-64702.html
Donabel,Farmacias Ahumada,https://www.farmaciasahumada.cl/donabel-2-1-x-28-comprimidos-recubiertos-85534.html?srsltid=AfmBOoo8B9G8VPh412ujXYzg1aaVsZZHlZU_XocPSJjPo6YxiiOLShS1
Progendo 200mg,Farmacias Ahumada,https://www.farmaciasahumada.cl/progendo-200-mg-x-30-capsulas-blandas-47245.html?srsltid=AfmBOor4869Q795fHRTNTsoomsEJHFSxr4Y1-HTFRc_8zDQQ0qvaL3H-
Drovelis,Farmacias Ahumada,https://www.farmaciasahumada.cl/drovelis-x-28-comprimidos-recubiertos-92615.html?srsltid=AfmBOooajAmHtpTW2CZCVTqQFMGuADAyOBx_vEqvt3HzP_QlyX7v54BB
Elcald Plus,Farmacias Ahumada,https://www.farmaciasahumada.cl/elcal-d-plus-x-60-capsulas-49327.html?srsltid=AfmBOooNuWOWJbbH56DqZkmogu5_7KJgep1Z3qVLpBEaLjST6-SPCqd0
Rosuvastatina,Farmacias Ahumada,https://www.farmaciasahumada.cl/rosuvastatina-10-mg-x-30-comprimidos-recubiertos-ascend-88085.html?srsltid=AfmBOoog6o7OokXkhsAflgRY__A_Y21wrphaB6cBj8PZvXUhd2mLQGym
Duphaston Didrogesterona 10mg,Farmacias Ahumada,https://www.farmaciasahumada.cl/duphaston-10-mg-x-20-comprimidos-recubiertos-20510.html?srsltid=AfmBOooKFdTUnvwz7Wno5OAlfGqp0teZWeIY1X3BwXs8xEhW5zScndVS
Gestel 200mg,Eco Farmacias,https://www.ecofarmacias.cl/producto/gestel-capsulas-blandas-100-mg-progesterona/
Acuode Colecalciferol 50.000UI Polvo,Eco Farmacias,https://www.ecofarmacias.cl/producto/acuode-colecalciferol-50-000-ui-polvo-oral-2-sobres/
Estreva,Eco Farmacias,https://www.ecofarmacias.cl/producto/estreva-gel-0-1-estradiol/
Progendo 200mg,Eco Farmacias,https://www.ecofarmacias.cl/producto/progendo-200-mg-x-30/
Hidroferol,Eco Farmacias,https://www.ecofarmacias.cl/producto/hiedroferol-0266-mg-calcifediol/
Ainara (Gel Hidratante Vaginal),Salcobrand,https://salcobrand.cl/products/ainara-gel-hidratante-vaginal-x30g?default_sku=1724760&queryID=707259a3485568fd094f4036d4030abe
Ainara (Gel Hidratante Vaginal),Farmacias Ahumada,https://www.farmaciasahumada.cl/ainara-x-30-g-gel-hidratante-vaginal-79772.html
Ainara (Gel Hidratante Vaginal),Cruz Verde,https://www.cruzverde.cl/ainara-gel-hidratante-vaginal-30-gr/272931.html
Ainara (Gel Hidratante Vaginal),Farmex,https://farmex.cl/products/ainara-gel-x-30-g?_pos=1&_sid=afeeb47b3&_ss=r
Ainara (Gel Hidratante Vaginal),Farmacia Meki,https://farmaciameki.cl/producto/ainara-itf-labomed-025a
Ainara (Gel Hidratante Vaginal),Farmacia JVF,https://farmaciajvf.com/products/ainara-x-30-g-gel-hidratante-vaginal-farmacias-jvf
Ainara (Gel Hidratante Vaginal),Profar,https://www.profar.cl/ainara-gel-30-g-100622/p
Ainara (Gel Hidratante Vaginal),Nova Salud,https://www.novasalud.cl/ainara-30g-gel-hidratante-vaginal
Ainara (Gel Hidratante Vaginal),Búho Chile,https://www.buhochile.com/products/ainara-30-g-gel-hidratante-vaginal-itf-labomed?productId=f88c1c17-1747-482d-9584-cb905dcc3a1c
Antrofi,Salcobrand,https://salcobrand.cl/products/principio-activo-promestrieno?default_sku=575274&queryID=bd14ae68048632de9d3fd4a3234d3c8d
Antrofi,Farmacias Ahumada,https://www.farmaciasahumada.cl/antrofi-1-crema-vaginal-20-aplicadores.-envase-30-g--87873.html
Antrofi,Cruz Verde,https://www.cruzverde.cl/antrofi-promestrieno-1-crema-vaginal-30-gr-con-20-aplicadores/298572.html
Antrofi,EcoFarmacias,https://www.ecofarmacias.cl/producto/antrofi-promestrieno-1-crema-vaginal-30-gr/
Antrofi,Farmacia Meki,https://farmaciameki.cl/producto/antrofi-1-percent-eurofarma-298e
Antrofi,Farmaloop,https://www.farmaloop.cl/products/antrofi-1-crema-x-30-gr-140687/
Antrofi,Farmacia JVF,https://farmaciajvf.com/products/antrofi-1-20-aplicaciones-x-30-g-crema-vaginal-farmacias-jvf
Antrofi,Anticonceptivo.cl,https://anticonceptivo.cl/producto/antrofi?
Antrofi,Farmacia El Químico,https://farmaciaelquimico.cl/products/antrofi-crema-vaginal-1?_pos=1&_psq=antrofi&_ss=e&_v=1.0
Antrofi,MercadoFarma,https://www.mercadofarma.cl/products/antrofi-promestrieno-1-30g
Antrofi,Nova Salud,https://www.novasalud.cl/antrofi-promestrieno-0-01-30gr-con-20-aplicadores-crema-vaginal
Antrofi,Búho Chile,https://www.buhochile.com/products/antrofi-1-001-30-g-crema-vaginal-eurofarma?productId=49de8ba9-5c1f-44bf-8b43-4fc4f721efd3
Citrato de Magnesio 500mg,Farmex,https://farmex.cl/products/citrato-de-magnesio-500-mg-x-90-capsulas?_pos=2&_sid=81bdc1b20&_ss=r
Citrato de Magnesio 500mg,EcoFarmacias,https://www.ecofarmacias.cl/producto/cram-relax-60-capsulas/
Citrato de Magnesio 500mg,Farmacia Meki,https://farmaciameki.cl/producto/cloruro-de-magnesio-500-mg-suplalim-9f79
Citrato de Magnesio 500mg,Farmaloop,https://www.farmaloop.cl/products/citrato-de-magnesio-500-mg-x-60-capsulas-140795/
Citrato de Magnesio 500mg,Anticonceptivo.cl,https://anticonceptivo.cl/producto/citrato-de-magnesio-500-mg-x-30-capsulas
Citrato de Magnesio 500mg,Farmacia El Químico,https://farmaciaelquimico.cl/products/citrato-de-magnesio-capsulas-1?_pos=1&_sid=61df9ce82&_ss=r
Citrato de Magnesio 500mg,MercadoFarma,https://www.mercadofarma.cl/products/citrato-de-magnesio-500mg-60-capsulas
Citrato de Magnesio 500mg,Búho Chile,https://www.buhochile.com/products/citrato-de-magnesio-500-mg-30-capsulas-green-medical?productId=7596eda4-4a42-4882-9473-5bd95fb2cd17
Citrato de Magnesio (otro),Farmacias Ahumada,https://www.farmaciasahumada.cl/sunvitlife-magnesio-citrato-400-mg-x-60-comprimidos-88402.html
Citrato de Magnesio (otro),Cruz Verde,https://www.cruzverde.cl/citrato-de-magnesio-400-mg-60-comprimidos/550376.html
Citrato de Magnesio (otro),Farmex,https://farmex.cl/products/citrato-de-magnesio-400-mg-x-60-capsulas?_pos=6&_sid=81bdc1b20&_ss=r
Citrato de Magnesio (otro),Farmacias Dr Simi,https://www.drsimi.cl/Citrato%20de%20Magnesio%20500%20mg?_q=Citrato%20de%20Magnesio%20500%20mg&map=ft
Citrato de Magnesio (otro),Farmacia Meki,https://farmaciameki.cl/producto/citrato-de-magnesio-500-mg-green-medical-ca8b
Citrato de Magnesio (otro),Farmaloop,https://www.farmaloop.cl/products/citrato-de-magnesio-x-90-capsulas-150513/
Citrato de Magnesio (otro),Anticonceptivo.cl,https://anticonceptivo.cl/producto/citrato-de-magnesio-natural-farm-60-caps-400-mg
Citrato de Magnesio (otro),Farmacia El Químico,https://farmaciaelquimico.cl/products/citrato-de-magnesio-capsulas-2?_pos=3&_sid=61df9ce82&_ss=r
Citrato de Magnesio (otro),Búho Chile,https://www.buhochile.com/products/citrato-de-magnesio-500-mg-60-capsulas-green-medical?productId=7a60c70b-fd6f-419c-b982-e791c16e4410
Tibolona: Climaval,Salcobrand,https://salcobrand.cl/products/climaval-b-tibolona-2-5mg-30-comprimidos?default_sku=579925&queryID=e0da6d19cbf434a95bbcda3aa66ecc5d
Tibolona: Climaval,Farmacias Ahumada,https://www.farmaciasahumada.cl/climaval-tibolona-2-50-mg-30-comprimidos-90035.html
Tibolona: Climaval,EcoFarmacias,https://www.ecofarmacias.cl/producto/climaval-tobilona-2-5-x-30-comprimidos/
Tibolona: Climaval,Farmacia Meki,https://farmaciameki.cl/producto/climaval-25-mg-saval-d551
Tibolona: Climaval,Farmaloop,https://www.farmaloop.cl/products/climaval-25-mg-30-comprimidos-140541/
Tibolona: Climaval,Anticonceptivo.cl,https://anticonceptivo.cl/producto/climaval
Tibolona: Lirex,Salcobrand,https://salcobrand.cl/products/tibolona-2-5mg-oral-solido-b2f18b6e-1b69-4e46-844c-f968d67e2fca?default_sku=3025971&queryID=1dcc0978cce7b57a95b2cd8ffb70c755
Tibolona: Lirex,Farmacias Ahumada,https://www.farmaciasahumada.cl/lirex-2.5-mg-x-30-comprimidos-40271.html
Tibolona: Lirex,Cruz Verde,https://www.cruzverde.cl/lirex-tibolona-25-mg-30-comprimidos/67406.html
Tibolona: Lirex,Farmex,https://farmex.cl/products/lirex-2-5-mg-x-30-comprimidos?_pos=1&_sid=eba3aed21&_ss=r
Tibolona: Lirex,EcoFarmacias,https://www.ecofarmacias.cl/producto/lirex-2-5-x-30/
Tibolona: Lirex,Farmacias Dr Simi,https://www.drsimi.cl/lirex-tibolona-2-5-mg-30-comprimidos/p
Tibolona: Lirex,Farmacia Meki,https://farmaciameki.cl/producto/lirex-25-mg-silesia-4c63
Tibolona: Lirex,Farmaloop,https://www.farmaloop.cl/products/lirex-25-mg-x-30-comprimidos-107629/
Tibolona: Lirex,Farmacia JVF,https://farmaciajvf.com/products/lirex-x-30-comprimidos-farmacias-jvf
Tibolona: Lirex,Anticonceptivo.cl,https://anticonceptivo.cl/producto/lirex
Tibolona: Lirex,Farmacia El Químico,https://farmaciaelquimico.cl/products/lirex-comprimidos-2-5mg?_pos=1&_sid=c428fe9b6&_ss=r
Tibolona: Lirex,Profar,https://www.profar.cl/lirex-be-x-30-comp-106532/p
Tibolona: Lirex,MercadoFarma,https://www.mercadofarma.cl/products/lirex-2-5mg-30-comprimidos
Tibolona: Lirex,Nova Salud,https://www.novasalud.cl/lirex-2-5mg-30-comprimidos
Tibolona: Lirex,Búho Chile,https://www.buhochile.com/products/lirex-25-mg-30-comprimidos-silesia?productId=7b366a71-8d3f-4d2e-8d8f-889d8b02b174
Tibolona: Tobe,Salcobrand,https://salcobrand.cl/products/tobe-2-5mg?default_sku=432928&queryID=8a08fbce96f5527b26dedac07de52cee
Tibolona: Tobe,Farmacias Ahumada,https://www.farmaciasahumada.cl/tobe-2.5-mg-x-30-comprimidos-recubiertos-37770.html
Tibolona: Tobe,Cruz Verde,https://www.cruzverde.cl/tobe-tibolona-25-mg-30-comprimidos/1495.html
Tibolona: Tobe,Farmex,https://farmex.cl/products/tobe-tabletas-recubie-tibolona?_pos=3&_sid=eba3aed21&_ss=r
Tibolona: Tobe,EcoFarmacias,https://www.ecofarmacias.cl/producto/tobe-2-5-x-30/
Tibolona: Tobe,Farmacia Meki,https://farmaciameki.cl/producto/tobe-25-mg-laboratorio-chile-0d53
Tibolona: Tobe,Farmaloop,https://www.farmaloop.cl/products/tobe-25-mg-x-30-comprimidos-91216/
Tibolona: Tobe,Farmacia JVF,https://farmaciajvf.com/products/tobe-25-mg-x-30-comprimidos-recubiertos-farmacias-jvf
Tibolona: Tobe,Anticonceptivo.cl,https://anticonceptivo.cl/producto/tobe
Tibolona: Tobe,Nova Salud,https://www.novasalud.cl/tobe-tibolona-2-5mg-30-comprimidos-recubiertos
Tibolona: Reduclim,Salcobrand,https://salcobrand.cl/products/reduclim-b-tibolona-2-5mg-35-comprimidos?default_sku=8801230&queryID=5c4f89493a76079bb6d0d02196a1255c
Tibolona: Reduclim,Farmacias Ahumada,https://www.farmaciasahumada.cl/reduclim-2.5-mg-x-35-comprimidos-87268.html
Tibolona: Reduclim,Cruz Verde,https://www.cruzverde.cl/reduclim-tibolona-25-mg-35-comprimidos/297129.html
Tibolona: Reduclim,Farmex,https://farmex.cl/products/reduclim-tibolona-2-5-mg-x-30-comprimidos-ley-cenabast?_pos=4&_sid=eba3aed21&_ss=r
Tibolona: Reduclim,EcoFarmacias,https://www.ecofarmacias.cl/producto/reduclim-25mg-x-35-comprimidos-tibolonacenabast/
Tibolona: Reduclim,Farmacia Meki,https://farmaciameki.cl/producto/reduclim-25-mg-deutsche-pharma-d80d
Tibolona: Reduclim,Farmaloop,https://www.farmaloop.cl/products/reduclim-tibolona-25-mg-35-comprimidos-140809/
Tibolona: Reduclim,Anticonceptivo.cl,https://anticonceptivo.cl/producto/reduclim-25mg-x30com
Tibolona: Reduclim,Farmacia El Químico,https://farmaciaelquimico.cl/products/reduclim-comprimidos-2-5mg-producto-cenabast?_pos=1&_sid=fde529d66&_ss=r
Tibolona: Reduclim,MercadoFarma,https://www.mercadofarma.cl/products/reduclim-2-5mg-35-comprimidos
Tibolona: Reduclim,Búho Chile,https://www.buhochile.com/products/reduclim-25-mg-35-comprimidos-deutsche-pharma?productId=2eb033a3-cd20-490b-88f7-d3f1e601c478
Tibolona: Livial,Salcobrand,https://salcobrand.cl/products/tibolona-2-5mg-oral-solido?default_sku=2970285&queryID=888bb19d6d113fb016631446fd0121b9
Tibolona: Livial,Farmacias Ahumada,https://www.farmaciasahumada.cl/livial-2.5-mg-x-28-comprimidos-7349.html
Tibolona: Livial,Cruz Verde,https://www.cruzverde.cl/livial-tibolona-25-mg-28-comprimidos/58016.html
Tibolona: Livial,Farmex,https://farmex.cl/products/livial-2-5-mg-x-28-comp?_pos=5&_sid=eba3aed21&_ss=r
Tibolona: Livial,Farmacia Meki,https://farmaciameki.cl/producto/livial-25-mg-merck-sharp-and-dohme-(msd)-3330
Tibolona: Livial,Farmacia JVF,"https://farmaciajvf.com/products/livial-2,5-mg-x-28-comprimidos-farmacias-jvf"
Tibolona: Livial,Anticonceptivo.cl,https://anticonceptivo.cl/producto/livial
Tibolona: Livial,Profar,https://www.profar.cl/livial-x-28-tabletas-103410/p
Tibolona: Livial,Búho Chile,https://www.buhochile.com/products/livial-25-mg-25mg-28-comprimidos-msd?productId=576f70ac-4ba1-4d7d-9c57-62237d8d6b5e
Clinomat,Salcobrand,https://salcobrand.cl/products/clinomat-drospirenona-estradiol-30-comprimidos-recubiertos?default_sku=2838974&queryID=bfe82c2125fc5f2fe1d1aa96699bde2f
Clinomat,Farmacias Ahumada,https://www.farmaciasahumada.cl/clinomat-x-30-comprimidos-recubiertos-49206.html
Clinomat,Cruz Verde,https://www.cruzverde.cl/clinomat-drospirenona-2-mg-estradiol-1-mg-30-comprimidos-recubierto/253796.html
Clinomat,Farmex,https://farmex.cl/products/clinomat-2-mg-x-30-comp?_pos=1&_sid=0ebc07024&_ss=r
Clinomat,EcoFarmacias,https://www.ecofarmacias.cl/producto/clinomat-x-30-comprimidos/
Clinomat,Farmacias Dr Simi,https://www.drsimi.cl/clinomat-30-comprimidos-recubiertos/p
Clinomat,Farmacia Meki,https://farmaciameki.cl/producto/clinomat-1-mg-2-mg-abbott-0bf6
Clinomat,Farmaloop,https://www.farmaloop.cl/products/clinomat-x-30-comprimidos-105919/
Clinomat,Farmacia JVF,https://farmaciajvf.com/products/clinomat-x-30-comprimidos-recubiertos-farmacias-jvf
Clinomat,Anticonceptivo.cl,https://anticonceptivo.cl/producto/clinomat?
Clinomat,Farmacia El Químico,https://farmaciaelquimico.cl/products/clinomat?_pos=1&_sid=f3eba3de4&_ss=r
Clinomat,Profar,https://www.profar.cl/clinomat-x-30-comp-rec-101618/p
Clinomat,MercadoFarma,https://www.mercadofarma.cl/products/clinomat-30-comprimidos-recubiertos
Clinomat,Nova Salud,https://www.novasalud.cl/clinomat-30-comprimidos-recubiertos
Clinomat,Búho Chile,https://www.buhochile.com/products/clinomat-2-mg-1-mg-30-comprimidos-recubiertos-abbott?productId=018ec109-641f-406a-a39e-de7f7296c7f3
Colecalciferol: Acuode polvo oral,Salcobrand,https://salcobrand.cl/products/acuode-colecalciferol-50-000ui-polvo-oral-2-sobres?default_sku=2830479&queryID=09a8243ae05d21adeba238f4d58b5812
Colecalciferol: Acuode polvo oral,Farmacias Ahumada,https://www.farmaciasahumada.cl/acuode-50000-ui-x-2-sobres-polvo-para-solucion-oral-82302.html
Colecalciferol: Acuode polvo oral,Cruz Verde,https://www.cruzverde.cl/acuode-colecalciferol-05-gr-polvo-para-solucion-oral-2-sobres/289423.html
Colecalciferol: Acuode polvo oral,Farmex,https://farmex.cl/products/acuode-1?_pos=2&_sid=2be3ed63c&_ss=r
Colecalciferol: Acuode polvo oral,EcoFarmacias,https://www.ecofarmacias.cl/producto/acuode-colecalciferol-50-000-ui-polvo-oral-2-sobres/
Colecalciferol: Acuode polvo oral,Farmacia Meki,https://farmaciameki.cl/producto/acuode-50.000-u.i.-abbott-2cea
Colecalciferol: Acuode polvo oral,Farmaloop,https://www.farmaloop.cl/products/acuode-50000-ui-x-2-sobres-polvo-para-solucion-oral-104697/
Colecalciferol: Acuode polvo oral,Farmacia JVF,https://farmaciajvf.com/products/acuode-50000-ui-Solucion-oral-x-2-sobres-farmacias-jvf
Colecalciferol: Acuode polvo oral,Anticonceptivo.cl,https://anticonceptivo.cl/producto/acuode-colecalciferol-50.000-ui-polvo-oral-2-sobres
